course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
State and Local Economic Development,SUP 683M,Carbonell,"Economic development is a top priority for governors, county executives, mayors, and civic leaders, who struggle with defining and executing viable strategies and policies that have impactful and equitable outcomes. In both thriving and distressed regions, strong cultural, political, and market forces constrain decision making and create increasingly competitive battles among states, counties, and cities, which often find themselves obligated to use tax incentives and public subsidies to lure la",Spring 1,M/W,12:00pm - 1:15pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 683M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 203M A,Carlana,"This course is a 6-week module that follows on API-202M, allowing students to further specialize in a particular area of evidence for policy making. First year MPP students can select among the following three options. Section A (Michela Carlana) Causal Inference and Prediction: This module will delve deeper into quantitatively evaluating the impact of programs through quasi-experimental study designs, and assessing the strengths and weaknesses of different approaches. Students will also be",Spring 2,T/Th,10:30am - 11:45am,"Carlana, Michela",5.0,3.33,0.565333333333333,0.0276666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 203M A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Inequality and Education Policy,SUP 427,Carlana,"This course analyzes the key role of education policy and human capital accumulation in reducing inequality and affecting labor market opportunities. The course is designed to equip students with program evaluation tools (using multiple regression analysis) to evaluate policy effectiveness. The policy applications in the course will focus on education policies implemented worldwide to reduce inequality and discrimination in education. During the last two classes, we will conclude the course by d",Full Term,M/W,1:30pm - 2:45pm,"Carlana, Michela",5.0,3.33,0.565333333333333,0.0276666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 427(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 202M A,Carlana,"Intended as a continuation of API-201, this 5-week module equips students with an understanding of common tools of quantitative empirical analysis in policy applications. Much of the learning will take place through hands-on analysis of data sets, as well as case studies illustrating critical concepts. The course will cover describing relationships between multiple variables, handling data in the real world, the challenges surrounding making causal claims, and interpreting the results of studies",Spring 1,T/Th,10:30am - 11:45am,"Carlana, Michela",5.0,3.33,0.565333333333333,0.0276666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 202M A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Equitable Development and Housing Policy in Urban Settings,SUP 600,Carras,"An introduction to policymaking in American cities, focusing on economic, demographic, institutional, and political settings. It examines inclusive and equitable economic development and job growth in the context of metropolitan regions and the emerging ""new economy.”  Topics include: federal, state, and local government strategies for expanding community economic development and affordable housing opportunities, equitable transit-oriented development and resiliency. Of special c",Full Term,M/W,12:00pm - 1:15pm,"Carras, James",4.238333333333334,2.95,-0.196333333333333,-0.352333333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 600(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Entrepreneurship and Innovation in the Private and Social Sectors (Business Plan Workshop),MLD 831,Cavanagh,"In this seminar/workshop students apply the theory of entrepreneurial management in the private and social sectors by creating business plans and presentations for new social enterprises. Through case studies of entrepreneurial ventures and readings, students learn about practical innovation, market research, talent acquisition, intellectual property and financing alternatives.  In particular this spring seminar is designed for students who are prepared to (1) create a business plan for a s",Full Term,T,4:30pm - 6:30pm,"Cavanagh, Richard",4.072399999999999,3.0711999999999997,-0.362266666666668,-0.231133333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 831(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Reckoning with History: Collective Memory, Leadership, and the Politics of Remembrance",DPI 422M,Cels,"Historic wrongs often live on in the present. Survivors and their advocates frequently turn to current administrations, seeking recognition and reparations for wrongdoings that governments in the past were involved in. But remedies rarely come easily. For example, because people remember the past differently; because they question their responsibility for remedying past wrongs; or because public officials are reluctant to accept responsibility on behalf of the state because of legal, financial,",Spring 2,M/W,3:00pm - 4:15pm,"Cels, Sanderijn",4.71,3.585,0.275333333333333,0.282666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 422M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
U.S. Health Care Policy,SUP 500,Chandra,"This course discusses the U.S. health care system, the challenges created by the political economy of the system, reform efforts, and the opportunities for public policy.  Topics include uninsurance, quality, disparities, cost-growth, market-power, medical malpractice, long-term care, innovation and pharmaceutical pricing.  We will focus on major health policy institutions, issues that cut across institutions, including private insurers and the federal/state financing pr",Full Term,M/W,3:00pm - 4:15pm,"Chandra, Amitabh",4.517333333333334,3.405333333333333,0.0826666666666673,0.103,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 500(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Using Big Data to Solve Economic and Social Problems,SUP 135,Chetty,"This course will show how ""big data"" can be used to understand and address some of the most important social and economic problems of our time. The course will give students an introduction to frontier research and policy applications in economics and social science in a non-technical manner that does not require prior coursework in Economics or Statistics, making it suitable both for students exploring Economics for the first time and more advanced students. Topics include equality of",Full Term,M/W,1:30pm - 2:45pm,"Chetty, Raj",4.88,3.5,0.445333333333333,0.197666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 135(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 203M B,Cohen,"This course is a 6-week module that follows on API-202M, allowing students to further specialize in a particular area of evidence for policy making. First year MPP students can select among the following three options. Section A (Michela Carlana) Causal Inference and Prediction: This module will delve deeper into quantitatively evaluating the impact of programs through quasi-experimental study designs, and assessing the strengths and weaknesses of different approaches. Students will also be",Spring 2,T/Th,10:30am - 11:45am,"Cohen, Dara Kay",4.659166666666667,3.4241666666666664,0.2245,0.121833333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 203M B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
HKS-HBS Joint Degree First-Year Seminar (spring),BGP 510Y,Cole,"This required seminar introduces degree candidates in the first two years of the joint programs (both MPP-MBA and MPA/ID-MBA) to key policy and management issues at the interface of the business and government sectors. It complements their learning in the required curricula of HBS and HKS, aids them in selecting appropriate elective courses, and provides context for choosing and pursuing employment in the summers following the first and second years of the joint program. It also promotes the dev",Full Term,T,4:30pm - 6:30pm,"Cole, Shawn",4.601666666666667,2.563333333333333,0.167,-0.739,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(BGP 510Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Land Loss, Reclamation, and Stewardship in Contemporary Native America",SUP 625,D'Oca,"This course will explore three critical dimensions in American Indian land issues: 1) historical land loss, 2) contemporary tribal governmental efforts at land reclamation, stewardship, and co-management, and 3) indigenous futurism. We will begin by tracking the history of land dispossession from colonial settlement to the present day. We will then move on to explore the reality of contemporary tribal governance and how that critical function turns on jurisdiction over traditional lands. Are the",Full Term,T,9:00am - 11:45am,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 625(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Politics and Ethics in Unstable Times,DPI 200 A,de Benedictis-Kessner,How does someone who is dedicated to public service responsibly gain and exercise power and influence in their career? How do they maintain their integrity while making the world a better place without themselves becoming swept up in the negative social and political forces that structurally generate pervasive inequities and injustices?This course will help students navigate difficult professional environments that are ethically and politically complex. It focuses on three challenging areas that,Full Term,M/W,10:30am - 11:45am,"de Benedictis-Kessner, Justin",4.056666666666667,3.15,-0.378,-0.152333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 200 A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Politics and Ethics in Unstable Times,DPI 200 B,de Benedictis-Kessner,How does someone who is dedicated to public service responsibly gain and exercise power and influence in their career? How do they maintain their integrity while making the world a better place without themselves becoming swept up in the negative social and political forces that structurally generate pervasive inequities and injustices?This course will help students navigate difficult professional environments that are ethically and politically complex. It focuses on three challenging areas that,Full Term,M/W,1:30pm - 2:45pm,"de Benedictis-Kessner, Justin",4.056666666666667,3.15,-0.378,-0.152333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 200 B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Econometric Methods for Applied Research II,API 115,Dobbie,"API-114 and API-115 comprise a two-course sequence for first-year doctoral students seeking training in econometric methods at a level that prepares them to conduct professional empirical research.  API-115 (spring) begins by reviewing the foundations of causal inference, covering potential outcomes, the selection problem, and randomized evaluations. The course will then cover instrumental variables, regression discontinuity, bunching estimators, and difference-in-differences and synth",Full Term,T/Th,1:30pm - 2:45pm,"Dobbie, Will",4.24,3.54,-0.194666666666667,0.237666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 115(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Advanced Quantitative Methods II: Econometric Methods,API 210,Dobbie,"Intended as a continuation of API-209, Advanced Quantitative Methods I, this course focuses on developing the theoretical basis and practical application of the most common tools of empirical research. In particular, we will study how and when empirical research can make causal claims. Methods covered include randomized evaluations, instrumental variables, regression discontinuity, and difference-in-differences. Foundations of analysis will be coupled with hands-on examples and assignments invol",Full Term,T/Th,10:30am - 11:45am,"Dobbie, Will",4.24,3.54,-0.194666666666667,0.237666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 210(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Game Theory and Strategic Decisions,API 303,Dogan,"This course uses game theory to study strategic behavior in real-world situations. It develops theoretical concepts, such as incentives, strategies, threats and promises, and signaling, with application to a range of policy issues. Examples will be drawn from a wide variety of areas, such as competition, bargaining, auction design, and voting behavior. This course will also explore how people actually behave in strategic settings through a series of participatory demonstrations.",Full Term,T/Th,9:00am - 10:15am,"Dogan, Pinar",4.351034482758622,3.4399999999999995,-0.0836321839080449,0.137666666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 303(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Policy Design and Delivery II,API 502 C,Donahue,"In this second part of PDD (API502), you will switch gears from policy/strategy formulation to execution. You will learn about project management, including systems thinking, leveraging digital technologies,  financial management,  performance monitoring,  and  risk management.  You will learn how to leverage analytical tools and guiding frameworks, and how to think about the use of data to optimize your chances of success. By the end of this course, you will be equipped",Full Term,T/Th,9:00am - 10:15am,"Donahue, John",4.118,3.043,-0.316666666666666,-0.259333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 502 C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Spring Exercise,API 500M,Donahue,"Spring Exercise is a two-week long simulation offering students an intense challenge of intellectual integration and practical application spanning the disciplines represented in the MPP core. The exercise gives students practice at applying core tools and concepts in a setting and at a pace approximating professional reality. It thus serves as a capstone to the first-year core and a bridge to the second-year Policy Analysis Exercise and subsequent professional work.During Spring Exercise, stude",Spring 2,TBA,- TBA,"Donahue, John",4.118,3.043,-0.316666666666666,-0.259333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 500M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Systems Thinking and Supply Chain Management: Climate, Poverty and Human Rights",MLD 605,Fagan,"Covid-19 is demonstrating the critical nature of supply chains in our world. From lack of personal protective equipment to virus test kits to toilet paper, failures in supply lines are taking a toll on our lives.The efficient delivery of quality public services is a core requirement of government agencies. Supply chain management (SCM) is the structured approach for meeting this requirement. Supply chains are the systems and processes that transform resources into services ranging from healthcar",Full Term,Th,4:30pm - 7:15pm,"Fagan, Mark",4.518620689655172,3.813103448275862,0.0839540229885056,0.510770114942529,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 605(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Strategies and Policies for Educational Excellence with Equity,SUP 470,Ferguson,"This course develops a ""big picture"" understanding of how policymakers, philanthropists, and civic entities can work in concert with schools, families, and out-of-school-time organizations in pursuit of excellence with equity for children and youth. As the title suggests, the course is concerned with strategies and policies for narrowing racial achievement gaps. But narrowing gaps is not enough. Excellence matters too. Therefore, the focus of the course is academic excellence with equi",Full Term,M/W,12:00pm - 1:15pm,"Ferguson, Ronald",3.793571428571429,2.858571428571428,-0.641095238095238,-0.443761904761905,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 470(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Advanced Macroeconomics for the Open Economy II,API 120,Frankel,"This course is the second in the two-course sequence on macroeconomic policy in the MPA/ID program.  Topics covered in the first half of the course include international financial integration, exchange rate models, speculative attacks, the carry trade, portfolio choice, currency risk, default risk, Debt Sustainability Analysis, and crises in Emerging Markets.  The second half of the course uses tools of dynamic optimization.  Topics covered include, among others, the Solow and Ram",Full Term,M/W,1:30pm - 2:45pm,"Frankel, Jeffrey",4.145925925925926,3.347037037037037,-0.288740740740741,0.0447037037037035,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 120(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
