,prof_search,course_code,concentration,course_name,credit,term,professor,day,time,description,course_link,mean_rating,mean_workload
81,"Keyssar, Alexander",DPI-703,"Democracy, Politics and Institutions",Democracy: The Long View and the Bumpy History,4,Fall,"Keyssar, Alexander",T/Th,4:30 PM-5:45 PM,"This course will explore key episodes, turning points, and themes in the history of democracy from ancient Athens to the present. It is shaped by two overarching and compelling questions: What circumstances, conditions, and forces are conducive to the development, deepening, and preservation of democratic ideas, values, and institutions? And conversely, what are the conditions or forces that tend to inhibit or threaten the emergence, strengthening, or survival of democracy? Among the historical episodes to be examined are: ancient Greece and the Near East; the American Revolution; Europe during industrialization; Latin America in the 19th and 20th centuries; India and Pakistan; the “third wave” of democratization; and the challenges facing democracies in the last thirty years. Inescapably (and by design) we will also be discussing the relevance of this history to current and recent developments. This course is jointly offered with the History Department as History 1390.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Alex Keyssar %20)%22%2C%22DeepLink%22%3Afalse%7D,4.63,3.81
82,"King, David",DPI-122,"Democracy, Politics and Institutions",Politics and American Public Policy,4,Fall,"King, David",T/Th,9:00 AM-10:15 AM,"How do major, transformative changes in public policy take place? Why do some big public policy reforms succeed while others fail or languish for decades? Major public policy changes often begin in the orderly world of analysis - but end in the messy world of partisan politics. To succeed a new initiative has to coincide with a political climate and a leadership capacity that allows the proponents to overcome the natural resistance to change. This course explores the major political institutions and organizations in the U.S. policy process. A ""lobbying simulation"" plays an important role in integrating elements of the course, and the course underscores the important roles of state, local, and tribal governments in addition to the federal government.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20David King %20)%22%2C%22DeepLink%22%3Afalse%7D,4.63,3.26
83,"Lawrence, Robert",BGP-610,Business and Government Policy,The Political Economy of Trade,4,Fall,"Lawrence, Robert",T/Th,1:30 PM-2:45 PM,"This course provides a multidimensional introduction to international trade policy. Its purpose is to provide students with an understanding of international trade economics, rules, politics and institutions, and the major policy issues and challenges facing the global trading system. The course begins with an exploration of the rationales for free trade & protection, the distributional consequences of trade, the impact of trade on employment and growth and the challenges presented by deeper international economic integration. The course then considers the World Trade Organization (WTO). It explores negotiation mechanisms and principles, the rules relating to market access, services, agriculture, trade-related intellectual property (TRIPs), fair trade, safeguards and the system for dispute settlement and retaliation. The final section considers major challenges currently facing the trading system. These include the Covid pandemic, the backlash against globalization, and threats to the global trading order presented by US trade policy and the problems of absorbing China’s Socialist Market Economy. The pedagogical approaches in the course include lectures provided prior to class, case studies, small group discussions based on study questions, and exercises that simulate trade disputes and negotiations over WTO reforms for which students will be organized into national teams.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Robert Lawrence %20)%22%2C%22DeepLink%22%3Afalse%7D,4.18,3.42
84,"Levy, Dan",API-209,Analysis of Policies and Institutions,Advanced Quantitative Methods I: Statistics,4,Fall,"Levy, Dan",T/Th,1:30 PM-2:45 PM,"The goal of this course is to prepare students to analyze public policy issues using statistics. Topics included fall in the areas of probability theory, statistical inference, causal inference, and machine learning. While many students taking this course will have already taken courses in statistics and econometrics, this course will probably place a much stronger emphasis than typical courses on conceptually understanding the statistical methods. Since the course is targeted to first-year students in the MPA/ID program, we will not shy away from using the mathematical tools needed to develop the conceptual understanding. But the emphasis of the course will be on the conceptual understanding and application of the tools rather than on the math or the mechanics behind the tools. This course is open to non-MPA/ID students only by permission of the instructor. May not be taken for credit with API-201.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Dan Levy %20)%22%2C%22DeepLink%22%3Afalse%7D,4.94,4.37
85,"Muhammad, Khalil",DPI-385M A,"Democracy, Politics and Institutions",Race and Racism in the Making of the United States as a Global Power,2,Fall 1,"Muhammad, Khalil",T/Th,12:00 PM-1:15 PM,"This course is a core requirement for all MPP students. No other students are allowed to enroll at this time. The course is in response to longstanding efforts by HKS students, and most recently, the HKS Equity Coalition, to insist that understanding race and racism and their intersecting forms of power and oppression is essential to an excellent education at a policy school. The United States’ global dominance has long been the envy of the world. But the role of race to native born and newcomer alike has often been treated as aberrational, an unfortunate artifact of the nation’s past. This course disrupts this vision by examining the nature of race at the heart of the American project. In the first half of the course, we draw from African American, Latinx, Indigenous and Asian American history, critical race theory, and whiteness studies to offer students historical knowledge about the role that race and racism have played in wealth creation, labor force participation, political culture, social institutions, immigration, LGBTQ+ rights, and civic life. We then shift to the contemporary moment, drawing from theoretical and empirical research from the social sciences to highlight the institutions of racial domination that have helped to produce durable racial hierarchies, with specific attention to the modes through which hierarchies have been created and maintained. These perspectives are required for leadership in a 21st century, multi-racial democracy, to help lead and transform institutions for a browner America and world.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Atrue%2C%22TopN%22%3A%22%22%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Khalil%20Muhammad%20)%22%2C%22DeepLink%22%3Afalse%7D,4.77,3.84
86,"Peterson, Paul",SUP-448,Social and Urban Policy,The Political Economy of the School,4,Fall,"Peterson, Paul",T/Th,1:30 PM-2:45 PM,"Identifies political and economic influences on education policy, assesses relevant policy research, and discusses the practical challenges faced by today’s education innovators. Topics include teacher quality, collective bargaining, class size, school finance, accountability, early childhood, charter schools, and vouchers. Tuesday sessions focus on research approaches and findings; Thursday sessions discuss challenges faced by practitioners, who will be on campus to impart their experiences. The following practitioners will participate as Academic Visitors: Clint Bolick, Justice, Arizona Supreme Court; Derrell Bradford, President, 50CAN; Alberto M. Carvalho, Los Angeles Unified School District; Robin Lake, Director, Center on Reinventing Public Education; Joseph Olchefske, Adjunct Professor, Johns Hopkins School of Education; Former Superintendent, Seattle Public Schools; George Parker, Senior Advisor, National Alliance for Public Charter Schools; Former President, Washington, D.C. Teacher’s Union; James Peyser, former Secretary of Education, Commonwealth of Massachusetts; Michelle Rhee, CEO, 7 Ventures; Former Chancellor, Washington, D.C. Public Schools; Lisa Snell, Senior Fellow, Stand Together Trust; Rocco Testani, Partner, Eversheds-Sutherland, Atlanta, Georgia; John White, Watershed Advisors; Former State Superintendent, Louisiana This course is cross-listed as Government 2490, (FAS) The Political Economy of the School and SUP 448 (HKS). Also offered by the Government Department as Gov 2490.
  
 

  Permission of instructor required for all undergraduates.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Paul Peterson %20)%22%2C%22DeepLink%22%3Afalse%7D,4.45,3.55
87,"Porter, Roger",DPI-115,"Democracy, Politics and Institutions",The American Presidency,4,Fall,"Porter, Roger",T/Th,12:00 PM-1:15 PM,"This course analyzes the development and modern practice of presidential leadership in the United States by: (1) examining the evolution of the modern presidency, the process of presidential selection, and the structure of the presidency as an institution; (2) considering the ways in which presidents make decisions and seek to shape foreign, economic, and domestic policy; and (3) exploring the relationship of the presidency with other major government institutions, organized interest groups, the press, and the public. Its primary concern is with the political resources and constraints influencing the president's ability to provide leadership in the U.S. political system.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Roger Porter %20)%22%2C%22DeepLink%22%3Afalse%7D,4.47,3.02
88,"Rodrik, Dani",DEV-101,International Development,Economic Development: Theory and Evidence,4,Fall,"Rodrik, Dani",T/Th,10:30 AM-11:45 AM,"DEV-101 is a semester-long course that evaluates theories of economic development and scrutinizes empirical evidence to understand key features of the economic development processes across countries. The course will utilize analytical frameworks, grounded in economic theory, to examine the determinants of factor accumulation by individuals, firms and societies and productivity and efficiency of resource allocation across activities and time. Drawing on empirical evidence and country illustrations, we will evaluate the relevance of these frameworks for diagnosing root causes of economic development and to develop an understanding of how the judicious use of theory and empirics can provide guidance for economic policy reforms, including anti-poverty policies. The course is organized along the following broad sections: (i) a methodological overview, including analytical frameworks for understanding economic growth, factor accumulation and institutional outcomes, as well as an overview of empirical methods to evaluate policy impact; (ii) a historical overview of comparative economic development, with focus on the Industrial Revolution, the Great Divergence, and colonialism; (iii) individual determinants and returns to investment in human capital (fertility, health and education), and financial capital (credit markets, savings behavior), and constraints to factor accumulation; (iv) determinants of productivity, with emphasis on land and agriculture, the environment, resource misallocation within and across households/firms, poverty traps, learning and coordination and their impacts on productivity; (v) behavioral development and social norms; (vi) principles of economic reform, the role of institutions, the media and public service delivery. This course is only open to MPA/ID students.","https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Dani Rodrik, Eliana La Ferrara %20)%22%2C%22DeepLink%22%3Afalse%7D",4.24,3.24
89,"Rogers, Todd",MLD-304 A,"Management, Leadership, and Decision Sciences",Science of Behavior Change,4,Fall,"Rogers, Todd",T/Th,9:00 AM-10:15 AM,"Background
 

 Psychologists and economists have joined forces to study how people process information and actually make decisions, rather than how they would make decisions if they were fully rational and selfish. This research program (behavioral economics, judgment and decision making, or behavioral science) shows how decisions deviate from “optimal” and why it matters. We explore the nature, causes, implications and applications of these limitations. The course’s main focus is on how these tendencies can inform the design and development of welfare-enhancing interventions.
 

 Objectives
 

 The Science of Behavior Change (MLD 304) has one central objective: to improve students’ abilities to design policies and interventions that improve societal well-being. It accomplishes this by focusing on how to leverage insights about human decision making to develop interventions (“nudges”). We piece add to the toolbox that standard economics provides for influencing behavior (namely, incentives and information) with the insights from behavioral science. 
 

 There are three additional, though secondary, goals for this class. First, it will help you better understand the science of how humans make judgments and decisions. We will review research on human thinking from social psychology, cognitive psychology, political science, organizational behavior, decision science, and economics (including its subfield, behavioral economics). 
 

 Second, this course aims to improve the quality of your own judgments and decisions. People are poor intuitive statisticians, meaning that when they “just think” about situations for which some data or casual observations exist, they tend to make serious inferential errors, in turn leading to systematically biased decisions. We will study some errors that are particularly important for real world problems and look for easy‐to‐implement solutions. 
 

 Third, this course aims to increase your familiarity with randomized experiments so you can be a smarter consumer of claims that interventions cause certain outcomes. The class will be suffused with randomized experiments and we will repeatedly discuss how confident one can be that intervention X causes outcome Y. 
 

 Applications of the material covered in this course include policy design, healthcare, diversity and inclusion, energy, politics, education, finance, negotiation, risk management, human resource management, and organization of teams, among others.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Todd Rogers %20)%22%2C%22DeepLink%22%3Afalse%7D,4.22,2.63
90,"Rogers, Todd",MLD-304 B,"Management, Leadership, and Decision Sciences",Science of Behavior Change,4,Fall,"Rogers, Todd",T/Th,12:00 PM-1:15 PM,"Background
 

 Psychologists and economists have joined forces to study how people process information and actually make decisions, rather than how they would make decisions if they were fully rational and selfish. This research program (behavioral economics, judgment and decision making, or behavioral science) shows how decisions deviate from “optimal” and why it matters. We explore the nature, causes, implications and applications of these limitations. The course’s main focus is on how these tendencies can inform the design and development of welfare-enhancing interventions.
 

 Objectives
 

 The Science of Behavior Change (MLD 304) has one central objective: to improve students’ abilities to design policies and interventions that improve societal well-being. It accomplishes this by focusing on how to leverage insights about human decision making to develop interventions (“nudges”). We piece add to the toolbox that standard economics provides for influencing behavior (namely, incentives and information) with the insights from behavioral science. 
 

 There are three additional, though secondary, goals for this class. First, it will help you better understand the science of how humans make judgments and decisions. We will review research on human thinking from social psychology, cognitive psychology, political science, organizational behavior, decision science, and economics (including its subfield, behavioral economics). 
 

 Second, this course aims to improve the quality of your own judgments and decisions. People are poor intuitive statisticians, meaning that when they “just think” about situations for which some data or casual observations exist, they tend to make serious inferential errors, in turn leading to systematically biased decisions. We will study some errors that are particularly important for real world problems and look for easy‐to‐implement solutions. 
 

 Third, this course aims to increase your familiarity with randomized experiments so you can be a smarter consumer of claims that interventions cause certain outcomes. The class will be suffused with randomized experiments and we will repeatedly discuss how confident one can be that intervention X causes outcome Y. 
 

 Applications of the material covered in this course include policy design, healthcare, diversity and inclusion, energy, politics, education, finance, negotiation, risk management, human resource management, and organization of teams, among others.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Todd Rogers %20)%22%2C%22DeepLink%22%3Afalse%7D,4.22,2.63
91,"Rosenbach, Eric",API-501 D,Analysis of Policies and Institutions,Policy Design and Delivery I,4,Fall,"Rosenbach, Eric",T/Th,10:30 AM-11:45 AM,"Imagine it is the year 2030 and climate change has reached a tipping point. Scientists predict that within the next year irreversible flood damage will plunge your country into a devastating health and security crisis that demands a plan of action. If you were a policy advisor for the Ministry of Energy, the mayor of an at-risk city, or the head of a private firm that will lose 70% of its coastal manufacturing plants due to rising sea levels, how would you plan to tackle this challenge? What skills and frameworks would you need to begin planning and implementing a comprehensive response to a complex public policy problem?Dealing with the impacts of climate change is just one example of a challenging public policy problem HKS students may face in their careers. Policy Design and Delivery (PDD) will teach you the skills necessary to address a wide range of issues and to craft options for change. 
 

 The PDD course is grounded in theory, but taught using an immersive case-based methodology. Students will learn to use and apply policy tools and frameworks to hypothetical cases where no current answer exists and see how real-world examples were solved, taught by leading experts with personal experience. Throughout the course, students will build upon their policy-making toolkit to develop skills in leadership, team-building, briefing and writing for policymakers, and effective project management.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Eric Rosenbach %20)%22%2C%22DeepLink%22%3Afalse%7D,4.72,3.69
92,"Svoronos, Teddy",API-201 B,Analysis of Policies and Institutions,Quantitative Analysis and Empirical Methods,4,Fall,"Svoronos, Teddy",T/Th,1:30 PM-2:45 PM,"Introduces students to concepts and techniques essential to the empirical analysis of public policy issues. Provides an introduction to probability, statistics, and decision analysis, emphasizing the ways in which these tools are applied to practical policy questions. Topics include: descriptive statistics; applied probability; decision making under uncertainty; statistical inference; and hypothesis testing.. The course also provides students an opportunity to become proficient in the use of computer software widely used in analyzing quantitative data.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Theodore Svoronos %20)%22%2C%22DeepLink%22%3Afalse%7D,4.96,3.84
93,"Sweeney, Latanya",DPI-640,"Democracy, Politics and Institutions",Technology and the Public Interest: From Democracy to Technocracy and Back,4,Fall,"Sweeney, Latanya",T/Th,12:00 PM-1:15 PM,"We live in a new kind of technocracy –a society in which technology design dictates the rules that govern daily life. In the race to construct the latest gadget, app and online service, winning depends on rapid uptake and business success. Losing are social norms and democratic values. This course examines the complex interplay between technology design, governance and economic interests and introduces ways to intervene to navigate towards a victorious future where society reaps the benefits of technological innovations without sacrificing critical values. The course introduces a logic to reason about technology-society conflicts and a model to predict outcomes from conflicts, disruptions and exposed issues. Students learn not only how to spot unforeseen technology consequences but also what to do about them. The course uses a set of historical case studies interleaved with contemporary and timely variations on surveillance and privacy, identity and governance, algorithmic bias, and technology’s erosion of democratic values and historical protections. This course assumes no computer science or data science background. Please note, for the second weekly class session students have the option to attend either the scheduled Thursday class or a Wednesday 1:30-2:45PM class at FAS. Both sessions will be held jointly with Gov 1433. Please see syllabus for details.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Latanya Sweeney %20)%22%2C%22DeepLink%22%3Afalse%7D,3.76,3.42
94,"Wilkinson, Robert",MLD-215 A,"Management, Leadership, and Decision Sciences",Negotiation and Leadership: Essential Theory and Practice for Enhancing Your Personal Effectiveness,4,Fall,"Wilkinson, Robert",T/Th,10:30 AM-11:45 AM,"Negotiation and leadership are essential, ongoing processes that form part of our everyday lives, in whatever area of work you are involved in, regardless of your seniority, whether we are the most senior or junior person in the team. These are skills that we can study, practice and improve upon, and will be absolutely indispensable for any effective leader in any field. This course will provide students with the fundamental principles, theory and practice of the field of negotiation and leadership, and will include both US and international perspectives on negotiation and leadership approaches. This course is distinctive in blending leadership and negotiation principles in a single course.
 

 This course is intended to be a balance of theory and practice, and draws on the classic literature, as well as more recent work. We will use the case study method, active simulations, group work and lectures to bring the conceptual material to life, as well as to build students’ personal negotiation and leadership skills. There will also be an emphasis on bringing in international examples and cases throughout the course, to provide both domestic and global perspectives on negotiation and leadership. We are also lucky to have a few guest lecturers who will visit our class, all of whom are all world-class thought leaders and practitioners in the world of negotiation and leadership. And yes, this material applies to our personal lives as well, because we are all negotiators and leaders, each and every day!",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Robert Wilkinson %20)%22%2C%22DeepLink%22%3Afalse%7D,4.74,3.21
95,"Wood, David",BGP-235M,Business and Government Policy,Private Capital for Public Purpose: Impact Investing and Its Siblings,2,Fall 2,"Wood, David",T/Th,9:00 AM-10:15 AM,"This module will introduce and critically analyze efforts to direct private sector financial investments to public purpose. These efforts-falling under the headings of impact, responsible, mission, social, and sustainable investing-looks for ways to maximize the social utility of private investment. We will examine the: 1) types of investors engaged in these efforts (e.g. individuals, pension funds, endowments, foundations); 2) social goals they hope to achieve through their investments; 3) investment strategies and vehicles through which they hope to achieve these goals; 4) intersections of impact investing and public policy; 5) ways that stakeholders assess the impact of these investments. The class will balance U.S. domestic and global examples of investment, policymaking, and advocacy.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20David Wood %20)%22%2C%22DeepLink%22%3Afalse%7D,3.87,2.71
